,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
287,São João da Barra,75,BR,1594928261,64,-21.64,-41.05,71.6,9.17
289,Qaryat Sulūq,0,LY,1594928262,64,31.67,20.25,75.63,8.68
290,Arlit,0,NE,1594927497,30,18.74,7.39,92.71,24.72
291,Shache,100,CN,1594928262,39,38.42,77.24,74.97,17.72
292,Dingle,47,PH,1594928262,89,11.0,122.67,76.91,1.86
293,Vila Franca do Campo,75,PT,1594928262,73,37.72,-25.43,69.8,12.75
294,Lompoc,10,US,1594928114,60,34.64,-120.46,71.6,5.82
295,Oranjemund,0,NA,1594928262,25,-28.55,16.43,66.27,9.48
296,Atar,1,MR,1594927665,25,20.52,-13.05,98.6,6.93
297,Huilong,48,CN,1594927663,91,31.81,121.66,72.0,1.99
298,Tiznit Province,100,MA,1594928263,44,29.58,-9.5,82.89,3.83
299,Necochea,11,AR,1594927681,61,-38.55,-58.74,57.0,8.01
300,Roald,75,NO,1594927665,77,62.58,6.13,62.01,10.29
301,Krupina,40,SK,1594928263,68,48.36,19.06,64.4,3.36
302,Byron Bay,40,AU,1594928263,71,-28.65,153.62,52.0,8.05
303,Lampang,95,TH,1594928263,93,18.33,99.5,74.21,0.96
304,Khanbari,84,NP,1594928263,76,27.37,87.2,75.06,1.34
305,Santa Cruz de Barahona,40,DO,1594928263,49,18.21,-71.1,93.2,13.87
306,Kamenka,0,RU,1594927715,62,51.32,42.77,64.0,4.97
307,Solnechnyy,46,RU,1594928264,86,50.72,136.63,68.25,1.5
308,Shenjiamen,100,CN,1594928264,93,29.96,122.3,73.94,8.63
309,Henties Bay,0,NA,1594927714,33,-22.12,14.28,64.99,7.23
310,Médéa,0,DZ,1594928264,73,36.26,2.75,75.2,18.34
311,Catuday,42,PH,1594928264,80,16.29,119.81,81.59,10.38
312,Agadez,20,NE,1594928264,31,19.75,10.25,88.83,5.1
313,Saldanha,0,ZA,1594928264,66,-33.01,17.94,51.8,10.22
314,Sol'-Iletsk,21,RU,1594928264,34,51.16,54.99,80.85,10.11
315,Severo-Kuril'sk,86,RU,1594928265,90,50.68,156.12,51.1,4.72
316,Alyangula,0,AU,1594928265,93,-13.85,136.42,57.2,9.53
317,Lerwick,100,GB,1594928265,93,60.15,-1.15,55.4,11.41
318,Gamba,67,GA,1594928265,94,-2.65,10.0,71.4,6.22
319,Saint George,1,US,1594928111,12,37.1,-113.58,100.99,4.7
320,Boyuibe,86,BO,1594928265,42,-20.42,-63.28,82.09,8.84
321,Ponta do Sol,12,PT,1594927970,69,32.67,-17.1,73.4,4.7
322,Langen,75,DE,1594928266,93,49.99,8.67,64.99,1.12
323,Bantogon,100,PH,1594928266,80,6.53,124.03,76.89,3.87
324,Port Lincoln,0,AU,1594928038,73,-34.73,135.87,52.83,8.43
325,Saint-Augustin,2,CA,1594928266,46,51.23,-58.65,69.22,15.52
326,Sechura,8,PE,1594927709,59,-5.56,-80.82,73.6,12.33
327,Huruta,98,ET,1594928266,74,8.15,39.35,59.5,5.99
328,Hay River,75,CA,1594928266,72,60.82,-115.8,60.8,14.99
330,Manokwari,0,ID,1594928267,71,-0.87,134.08,78.84,4.41
331,Erenhot,100,CN,1594928267,36,43.65,111.98,74.71,13.58
332,Port Blair,100,IN,1594927520,80,11.67,92.75,80.71,7.4
333,Flin Flon,75,CA,1594928267,59,54.77,-101.86,66.2,13.87
334,Zaplavnoye,83,RU,1594928267,40,48.7,45.02,73.0,4.47
335,Gao,14,ML,1594928267,44,16.64,1.64,89.37,12.59
336,Acaraú,0,BR,1594928267,68,-2.89,-40.12,81.91,14.85
337,Zhigansk,100,RU,1594928267,93,66.77,123.37,61.18,7.23
338,Kuala Terengganu,20,MY,1594928267,94,5.33,103.14,77.0,3.36
339,Al Bardīyah,0,LY,1594928268,81,31.76,25.09,74.55,14.58
340,Norman,40,US,1594928268,70,35.22,-97.44,87.8,13.87
341,Boguchany,100,RU,1594928268,94,58.38,97.45,58.41,5.64
342,Forsytheganj,63,BY,1594928268,78,52.63,29.73,58.48,4.29
343,Savannah Bight,99,HN,1594927703,76,16.45,-85.85,82.94,6.85
344,Laguna,1,US,1594928269,42,38.42,-121.42,84.0,8.05
345,Verkhoyansk,86,RU,1594928269,50,67.54,133.38,52.34,2.71
346,Takoradze,3,GH,1594928269,84,4.88,-1.76,74.88,8.59
347,Paita,40,PE,1594928269,83,-5.09,-81.11,71.6,12.75
348,Tommot,72,RU,1594928269,82,58.96,126.29,62.02,1.74
349,Ambulu,46,ID,1594928269,86,-8.35,113.61,73.92,3.22
350,Tessalit,63,ML,1594928269,25,20.2,1.01,93.29,13.67
351,Praia,75,CV,1594928269,61,14.92,-23.51,80.6,13.87
352,Walvis Bay,0,NA,1594928269,9,-22.96,14.51,73.4,16.11
353,Acapulco de Juárez,5,MX,1594928056,63,16.86,-99.89,91.4,7.45
354,Tangshan,91,CN,1594928270,67,39.63,118.18,78.22,4.99
355,Aksarka,0,RU,1594928270,80,66.56,67.8,47.03,1.68
356,Villazón,93,BO,1594928270,25,-22.09,-65.59,58.77,6.13
357,Ormara,96,PK,1594928270,82,25.21,64.64,85.78,17.38
358,Urgut,90,UZ,1594928270,34,39.4,67.24,80.6,11.41
359,Koulikoro,100,ML,1594928270,80,14.0,-7.75,74.21,4.12
360,Chengzhong,40,CN,1594928270,94,30.95,113.55,75.2,4.47
361,Korla,0,CN,1594927685,79,41.76,86.15,77.0,5.01
362,Kānt,43,IN,1594928271,58,27.8,79.8,90.41,10.8
363,Santa Rita,75,BR,1594928271,88,-7.11,-34.98,75.2,6.93
364,Pandan,5,PH,1594928271,82,14.05,124.17,81.84,8.21
365,Boysun,9,UZ,1594928271,18,38.21,67.2,77.83,6.71
366,Belyy Yar,68,RU,1594928271,63,53.6,91.39,64.4,5.95
367,Bowen,0,AU,1594928126,93,-20.02,148.23,51.01,6.35
368,Takaungu,20,KE,1594928271,69,-3.68,39.86,77.0,6.93
369,Rancho Palos Verdes,20,US,1594928267,68,33.74,-118.39,73.0,12.75
370,Gamboma,100,CG,1594928272,64,-1.88,15.86,79.75,1.34
371,São Filipe,37,CV,1594928272,79,14.9,-24.5,76.03,10.18
372,Lakatoro,20,VU,1594928272,94,-16.1,167.42,69.8,6.06
373,Pingyi,67,CN,1594928272,87,35.5,117.63,69.91,4.43
374,Husavik,75,IS,1594928272,93,66.04,-17.34,51.8,11.41
375,Port Keats,0,AU,1594928272,38,-14.25,129.55,62.19,7.02
376,Dawson Creek,40,CA,1594928272,59,55.77,-120.24,66.2,11.41
377,Fukuechō,46,JP,1594928273,86,32.69,128.84,72.43,13.76
378,Harper,100,LR,1594928273,77,4.38,-7.72,75.15,9.57
379,Cidreira,100,BR,1594928021,88,-30.18,-50.21,53.19,15.17
380,Florø,75,NO,1594928273,77,61.6,5.03,59.0,18.34
381,Svetlaya,28,RU,1594928273,90,46.54,138.33,62.98,4.12
382,Abu Dhabi,4,AE,1594928273,56,24.47,54.37,100.4,6.93
383,Yaan,98,NG,1594928273,94,7.38,8.57,73.24,4.47
384,Nabire,4,ID,1594928273,89,-3.37,135.48,74.84,3.58
385,Ternate,0,ID,1594928274,77,0.8,127.4,79.45,3.49
386,Haines Junction,18,CA,1594928274,43,60.75,-137.51,70.66,2.28
387,Nome,75,US,1594928274,76,64.5,-165.41,57.2,4.7
388,Lucapa,0,AO,1594927717,25,-8.42,20.74,70.77,4.36
389,East Wenatchee Bench,1,US,1594928274,20,47.43,-120.28,90.0,17.22
390,Kailua,90,US,1594928274,69,21.4,-157.74,82.4,6.93
391,Wanning,89,CN,1594928274,86,18.8,110.4,82.0,11.12
392,Constitución,100,CL,1594928274,80,-35.33,-72.42,54.32,11.52
393,Caravelas,100,BR,1594928274,75,-17.71,-39.25,72.77,12.59
394,Corrente,14,BR,1594928275,57,-3.74,-43.34,86.49,1.86
395,Oussouye,75,SN,1594928275,88,12.48,-16.55,80.6,6.93
396,Havelock,99,US,1594927446,77,34.88,-76.9,87.01,5.01
397,Ambon City,74,ID,1594928275,16,-3.7,128.18,77.0,9.82
398,Glens Falls,75,US,1594928062,64,43.31,-73.64,78.01,10.29
399,Tazovsky,4,RU,1594928276,92,67.47,78.7,42.39,10.74
400,Homer,1,US,1594928276,52,59.64,-151.55,66.2,9.17
402,Kirkwall,100,GB,1594928276,93,58.98,-2.96,59.0,6.93
403,Vilyuysk,0,RU,1594928276,91,63.76,121.62,56.84,5.1
404,Vanavara,100,RU,1594928277,95,60.34,102.28,52.75,10.16
405,Ejura,97,GH,1594928277,91,7.39,-1.36,73.45,3.0
406,Kirakira,15,SB,1594928277,82,-10.45,161.92,76.5,7.52
407,Brae,100,GB,1594927702,93,60.4,-1.35,55.4,10.29
408,Leh,20,IN,1594928277,35,34.17,77.58,62.53,5.97
409,Juradó,97,CO,1594928278,78,7.11,-77.76,82.09,4.65
410,Severomuysk,100,RU,1594928278,89,56.15,113.43,45.1,5.84
411,Bairiki Village,75,KI,1594928278,78,1.33,172.98,80.6,4.7
412,Tomatlán,99,MX,1594928278,56,19.93,-105.25,92.43,11.21
413,Hofn,93,IS,1594928279,86,64.25,-15.21,52.59,20.45
414,Chiman,0,PK,1594928279,74,32.55,73.81,86.0,4.9
415,Grand Forks,40,US,1594928084,37,47.93,-97.03,82.4,16.11
416,Dulce Grande,75,MX,1594928279,38,23.0,-102.17,77.0,12.1
417,Boa Vista,75,BR,1594928037,58,2.82,-60.67,87.8,6.93
418,Pimentel,28,PE,1594928280,64,-6.84,-79.93,69.8,14.99
419,Trabzon Province,75,TR,1594928280,78,40.92,39.83,77.0,4.7
420,Butembo,100,CD,1594928280,97,0.15,29.28,57.65,1.97
421,Mawlaik,100,MM,1594928280,93,23.63,94.42,78.39,1.39
422,Rocha,3,UY,1594928126,76,-34.48,-54.33,51.33,5.39
423,Chipata,0,ZM,1594927709,67,-13.63,32.65,51.17,11.43
424,Vila Velha,75,BR,1594927687,69,-20.33,-40.29,73.4,11.41
425,Chiusi,9,IT,1594928281,69,43.02,11.95,77.0,1.99
426,Umluj,0,SA,1594928281,71,25.02,37.27,82.96,6.06
427,Nueve de Julio,0,AR,1594928282,32,-35.44,-60.88,66.99,3.0
428,Itarema,0,BR,1594928282,69,-2.92,-39.92,81.5,15.41
429,Dwārka,100,IN,1594927682,76,22.24,68.97,84.34,10.96
430,Kalianget,4,ID,1594928282,76,-7.05,113.93,78.67,9.6
431,La Ronge,90,CA,1594928282,63,55.1,-105.28,64.4,12.75
432,Novopokrovka,93,UA,1594928283,56,49.84,36.55,68.0,4.47
433,Muaná,66,BR,1594928283,58,-1.53,-49.22,88.65,3.6
434,Sunndalsøra,78,NO,1594928283,77,62.68,8.55,60.8,3.36
435,Mahibadhoo,100,MV,1594928283,74,3.78,72.97,84.18,6.53
436,Lavrentiya,99,RU,1594928284,77,65.58,-171.0,50.49,3.98
437,Kandrian,64,PG,1594928284,89,-6.22,149.55,76.93,6.02
438,Wagar,1,SD,1594928284,30,16.15,36.2,93.81,15.23
439,Bykovo,75,RU,1594928284,87,55.64,38.08,61.0,6.71
440,Guadalupe y Calvo,62,MX,1594928284,69,26.1,-106.97,70.02,3.6
441,Qinzhou,100,CN,1594928284,79,21.95,108.62,83.39,7.63
442,Tam Ky,20,VN,1594928284,88,15.57,108.48,77.0,3.36
443,Iralaya,40,HN,1594928285,70,15.0,-83.23,89.6,5.82
444,Mitsamiouli,75,KM,1594927689,78,-11.38,43.28,73.4,20.8
445,Pochutla,75,MX,1594928285,66,15.74,-96.47,90.0,12.75
446,Marovoay,20,MG,1594928285,78,-16.1,46.63,75.2,4.7
447,Tual,27,ID,1594928285,83,-5.67,132.75,78.6,20.07
448,Talaya,100,RU,1594928285,82,61.38,152.75,58.1,9.53
449,Ginir,53,ET,1594928286,86,7.13,40.7,56.14,10.74
450,Kozhanka,93,UA,1594927688,59,49.98,29.74,64.4,4.47
451,Wukari,100,NG,1594928286,92,7.85,9.78,74.14,4.59
452,Sioux Lookout,75,CA,1594928286,47,50.1,-91.92,78.8,14.99
453,Santa Rosa,52,PH,1594928268,77,14.31,121.11,82.0,1.01
454,Santa Isabel Rio Negro,99,BR,1594928286,61,-0.41,-65.02,87.55,2.1
455,Bata,40,GQ,1594928286,83,1.86,9.77,80.6,6.93
456,Grindavik,75,IS,1594928287,87,63.84,-22.43,50.0,13.87
457,Kupang,2,ID,1594928287,85,-10.17,123.58,72.99,6.04
458,Vestmanna,15,FO,1594928287,93,62.16,-7.17,51.8,14.99
459,Guerrero Negro,0,MX,1594928287,48,27.98,-114.06,79.72,15.75
460,Blackwater,0,AU,1594928115,68,-23.58,148.88,43.52,7.54
461,Beira,75,MZ,1594928222,68,-19.84,34.84,69.8,17.22
462,Sibut,100,CF,1594928287,95,5.72,19.07,70.14,2.95
463,Krasnovishersk,100,RU,1594928288,94,60.41,57.08,64.2,1.74
464,Teknāf,100,BD,1594928288,87,20.86,92.31,80.26,5.08
465,Pierre,1,US,1594928288,27,44.37,-100.35,89.01,8.05
466,Nanao,100,JP,1594928288,99,37.05,136.97,70.0,5.64
467,Araouane,55,ML,1594928288,25,18.9,-3.53,94.64,12.12
468,Kastamonu Province,89,TR,1594928288,92,41.5,33.67,61.83,3.44
469,Sitka,75,US,1594928288,77,57.05,-135.33,59.0,11.41
470,Zyryanka,100,RU,1594928289,89,65.75,150.85,45.52,7.65
471,York,67,US,1594928289,67,40.13,-77.0,81.0,5.99
472,Berea,90,US,1594928289,69,41.37,-81.85,84.0,9.17
473,Emet,0,TR,1594928289,80,39.34,29.26,60.19,4.43
474,Yumen,58,CN,1594928289,38,40.28,97.2,68.31,3.91
475,Egvekinot,31,RU,1594928289,81,66.32,-179.17,52.77,2.77
476,Matara,100,LK,1594928290,88,5.95,80.54,77.9,5.19
477,Baykal'sk,9,RU,1594928290,70,51.51,104.15,50.14,8.43
478,Stepnyak,91,KZ,1594928290,54,52.83,70.78,65.75,5.97
479,Champerico,40,GT,1594928290,55,14.3,-91.92,91.4,6.93
480,Pitimbu,75,BR,1594928290,88,-7.47,-34.81,75.2,6.93
481,Moose Factory,75,CA,1594928290,47,51.26,-80.61,80.6,11.41
482,Maniitsoq,18,GL,1594928290,81,65.42,-52.9,46.31,6.29
483,Mossamedes,0,AO,1594928290,52,-15.2,12.15,68.11,2.77
484,Fasa,20,IR,1594928290,41,28.94,53.65,78.8,3.36
485,Takapau,100,NZ,1594928291,94,-40.03,176.35,46.0,5.99
486,Cambridge,75,CA,1594928016,83,43.36,-80.31,77.0,10.29
487,Grootfontein,0,NA,1594928291,49,-19.57,18.12,49.28,11.97
489,Marfino,75,RU,1594927710,93,55.7,37.38,61.0,11.18
490,Lata,0,PT,1594928291,32,40.16,-8.33,93.0,3.0
491,Gizo Government Station,55,SB,1594928291,78,-8.1,156.84,81.81,16.35
492,Knysna,29,ZA,1594928078,81,-34.04,23.05,46.4,3.36
493,Mossendjo,7,CG,1594928292,84,-2.95,12.73,69.78,3.4
494,Khasan,76,RU,1594928292,95,42.43,130.64,62.83,0.09
495,Göksun,0,TR,1594928292,61,38.02,36.5,82.4,21.92
496,Manali,90,IN,1594928292,94,13.17,80.27,78.8,3.36
497,Alexandria,0,EG,1594928292,61,31.22,29.96,78.8,11.41
498,Arman',100,RU,1594928292,92,59.7,150.17,52.88,4.79
499,Kumul,81,CN,1594927710,32,42.8,93.45,78.3,5.1
500,Tautira,20,PF,1594927723,78,-17.73,-149.15,78.8,4.7
501,Coahuayana Viejo,90,MX,1594928293,73,18.73,-103.68,75.2,17.22
502,Yerbogachën,0,RU,1594928293,91,61.28,108.01,47.68,6.02
503,Álamo,40,MX,1594928293,53,20.92,-97.68,95.0,9.17
504,Karaton,20,ID,1594928293,83,-6.34,106.1,78.8,5.82
505,Muhoroni,20,KE,1594928293,93,-0.15,35.2,59.0,3.36
507,Tvøroyri,0,FO,1594928293,93,61.56,-6.81,51.8,14.99
508,Nelson Bay,90,AU,1594928294,76,-32.72,152.15,55.4,10.29
509,Zhangjiakou Shi Xuanhua Qu,100,CN,1594928294,77,40.61,115.04,71.31,4.56
510,Chenzhou,100,CN,1594928294,79,25.8,113.03,78.67,4.81
511,Puerto Escondido,40,MX,1594928294,58,15.85,-97.07,87.8,5.82
512,Vallenar,0,CL,1594928294,17,-28.57,-70.76,76.95,4.94
513,Vestmannaeyjar,90,IS,1594928295,93,63.44,-20.27,50.0,25.28
514,Rome,90,US,1594928231,69,43.21,-75.46,75.2,5.82
515,Santa Maria,90,BR,1594928295,93,-29.68,-53.81,48.2,13.87
516,Dunedin,68,NZ,1594928295,77,-45.87,170.5,39.99,1.99
517,Ancud,90,CL,1594928295,93,-41.87,-73.82,52.0,12.75
518,Ryōtsu-minato,100,JP,1594928295,93,38.08,138.43,64.4,3.36
519,Vilhena,0,BR,1594928295,25,-12.74,-60.15,89.6,9.17
520,Killarney,20,IE,1594928296,82,52.05,-9.52,62.6,11.41
521,Aberystwyth,57,GB,1594928296,83,52.42,-4.08,66.0,1.99
522,Lipari,0,IT,1594928296,73,38.47,14.95,79.0,4.0
523,Zhigalovo,8,RU,1594928296,86,54.81,105.16,44.6,3.06
524,Chara,96,RU,1594928296,80,56.91,118.26,65.14,3.22
525,Porto Nacional,4,BR,1594928296,33,-10.71,-48.42,91.4,8.05
526,Bonavista,100,CA,1594928297,79,48.65,-53.11,48.0,5.99
527,Šentjur pri Celju,100,SI,1594928297,88,46.22,15.4,64.0,2.68
528,Juneau,75,US,1594928102,77,58.3,-134.42,62.01,9.17
529,San Ignacio,75,BZ,1594928189,59,17.16,-89.07,91.4,9.17
530,Nang Rong,88,TH,1594928297,83,14.64,102.79,77.56,4.5
531,Tezu,100,IN,1594928297,86,27.92,96.17,75.7,2.64
532,Poum,36,NC,1594928297,60,-20.23,164.02,69.44,9.95
533,Srednekolymsk,100,RU,1594928298,56,67.45,153.68,49.55,6.76
534,Horsham,75,GB,1594928036,56,51.06,-0.33,71.6,5.82
535,Ikot Ekpene,100,NG,1594928298,93,5.18,7.71,72.14,2.42
536,Cody,1,US,1594928298,17,44.53,-109.06,84.99,9.17
537,Nkawkaw,97,GH,1594928298,89,6.55,-0.77,72.54,1.57
538,Bridgetown,40,BB,1594928298,62,13.1,-59.62,87.8,16.11
539,Sørland,99,NO,1594928298,82,67.67,12.69,59.0,7.38
540,Hamilton,75,US,1594927681,62,39.18,-84.53,89.01,16.11
541,Rudraprayāg,19,IN,1594928299,75,30.28,78.98,75.16,1.43
542,Kidal,10,ML,1594928299,34,18.44,1.41,92.01,13.65
543,South River,10,US,1594928299,59,40.45,-74.39,80.01,1.99
544,Keskin,5,TR,1594928299,63,39.67,33.61,72.0,5.99
545,Dūngarpur,25,IN,1594928299,81,23.83,73.72,81.32,13.44
546,Nālūt,23,LY,1594928299,17,30.33,10.85,86.85,0.36
547,Noumea,75,NC,1594927711,82,-22.28,166.46,59.0,2.24
548,Poya,39,NC,1594928300,69,-21.35,165.15,61.95,2.98
549,Vaitape,100,PF,1594928300,86,-16.52,-151.75,76.75,18.34
550,Terenos,40,BR,1594928300,29,-20.44,-54.86,87.8,8.05
551,Mikhaylovka,76,RU,1594928300,75,50.06,43.24,57.99,1.99
552,Morondava,0,MG,1594928300,42,-20.28,44.28,72.88,21.52
553,Puerto Colombia,40,CO,1594928300,74,10.99,-74.95,87.8,11.41
554,Phan Thiet,0,VN,1594928097,85,10.93,108.1,77.27,4.25
555,Kosonsoy,20,UZ,1594928301,23,41.26,71.55,84.2,9.17
556,Namatanai,17,PG,1594928301,81,-3.67,152.43,78.91,3.71
557,Asău,5,RO,1594928301,92,46.43,26.4,57.99,5.55
558,Wajir,75,KE,1594928301,45,1.75,40.06,84.2,6.93
559,Mundo Nuevo (Ojo de Agua),0,MX,1594928301,73,18.7,-95.5,84.47,12.93
560,Basco,100,PH,1594927720,80,20.45,121.97,84.78,14.38
561,Hearst,100,CA,1594928301,33,49.68,-83.67,81.27,10.42
562,Suntar,87,RU,1594928302,70,62.14,117.63,59.5,5.5
563,Urengoy,16,RU,1594928302,88,65.97,78.37,44.96,9.64
564,Wamba,85,NG,1594928302,93,8.93,8.6,72.21,2.98
565,Krasnoarmeyskoye,81,RU,1594928302,82,52.72,50.03,63.66,6.38
566,Road Town,40,VG,1594928162,62,18.42,-64.62,87.8,8.05
567,Aklavik,75,CA,1594928302,67,68.22,-135.01,60.8,6.93
568,Sooke,75,CA,1594928303,72,48.37,-123.73,69.01,26.4
569,Brainerd,20,US,1594928303,51,46.36,-94.2,81.0,18.34
570,Alice Town,0,BS,1594928303,75,25.72,-79.3,84.11,12.84
